timestamp,match_key,league,home_team,away_team,manual_confidence,spread_apertura,total_apertura,spread_corrente,total_corrente,lambda_home,lambda_away,rho,prob_home,prob_draw,prob_away,prob_home_low,prob_home_high,prob_draw_low,prob_draw_high,prob_away_low,prob_away_high,movement_magnitude,movement_type,history_samples,actual_ft_home,actual_ft_away,notes
2025-11-16T14:54:17.084861,serie a|juventus|roma,Serie A,Juventus,Roma,0.61,0.8,2.8,1.0,2.6,1.3602634987044901,0.9078499438328758,-0.0341,0.4686808422012586,0.285364135648481,0.24595502215026038,0.2494,0.6689,0.2138,0.3665,0.0978,0.4394,0.328,MODERATE,1,,,manual_input_snapshot
2025-11-16T15:01:32.107769,serie a|juventus|roma,Serie A,Juventus,Roma,0.61,0.8,2.8,1.0,2.6,1.3690423731866186,0.9137090297475581,-0.0357,0.4694584605930965,0.28461496778868894,0.24592657161821463,2.282751402934177,0.4553333434390605,0.2643,0.6668,0.2093,0.3658,0.1014,0.4282,0.326,MODERATE,1,,,,,manual_input_snapshot
2025-11-16T15:01:57.399325,serie a|juventus|roma,Serie A,Juventus,Roma,0.61,0.8,2.8,1.0,2.6,1.3690423731866186,0.9137090297475581,-0.0357,0.4694584605930965,0.28461496778868894,0.24592657161821463,2.282751402934177,0.4553333434390605,0.2584,0.6628,0.2129,0.3614,0.1013,0.4305,0.326,MODERATE,1,,,,,manual_input_snapshot
